code;url;product_name;generic_name;quantity;packaging;brands;categories;pnns_groups_1;pnns_groups_2;main_category;image_url;image_small_url
4311596473564;https://world.openfoodfacts.org/product/4311596473564;Bismark hering;Bismarckhering in würziger Marinade;Inhalt: 500 g Fischabtropfgewicht: 250 g;Glas,40 FE,70 GL;Gut & Günstig;Fisch und Meeresfrüchte, Fisch, Heringe, Bismarckhering;Fish Meat Eggs;Fish and seafood;en:pickled-herring;https://static.openfoodfacts.org/images/products/431/159/647/3564/front_de.21.400.jpg;https://static.openfoodfacts.org/images/products/431/159/647/3564/front_de.21.200.jpg
4311501467428;https://world.openfoodfacts.org/product/4311501467428;Best Flakes;;750g;21 PAP,07 O;Dlg,Gut & Günstig;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Getreideprodukte, Frühstückscerealien, Flakes, Frühstücksflocken, Cornflakes;Cereals and potatoes;Breakfast cereals;en:corn-flakes;https://static.openfoodfacts.org/images/products/431/150/146/7428/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/431/150/146/7428/front_de.8.200.jpg
4335896631677;https://world.openfoodfacts.org/product/4335896631677;Natürliches Mineralwasser;;1,5 L e;Bouteille,plastique;K-Classic,Edeka;Beverages, Waters, Spring waters, Mineral waters, Natural mineral waters;Beverages;Waters and flavored waters;en:natural-mineral-waters;https://static.openfoodfacts.org/images/products/433/589/663/1677/front_en.4.400.jpg;https://static.openfoodfacts.org/images/products/433/589/663/1677/front_en.4.200.jpg
7613034169839;https://world.openfoodfacts.org/product/7613034169839;Die Backfrische Spargel Schinken mit Frühlingszwiebeln;;350 g;Pappe,Folie;Wagner,Nestle;Tiefkühlprodukte, Meals, Pizzas pies and quiches, Pizzas, Frozen pizzas and pies, Tiefkühlpizza;Composite foods;Pizza pies and quiche;en:frozen-pizzas;https://static.openfoodfacts.org/images/products/761/303/416/9839/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/761/303/416/9839/front_de.8.200.jpg
4005696301642;https://world.openfoodfacts.org/product/4005696301642;Eier;Eier;6 Stück;Eierkarton;Columbus Frischei GmbH;Farming products, Vogeleier, Chicken eggs, Eier aus Bodenhaltung;Fish Meat Eggs;Eggs;en:barn-chicken-eggs;https://static.openfoodfacts.org/images/products/400/569/630/1642/front_de.9.400.jpg;https://static.openfoodfacts.org/images/products/400/569/630/1642/front_de.9.200.jpg
4311501485217;https://world.openfoodfacts.org/product/4311501485217;Original Bayrischer Leberkäse fein in Scheiben;;125 g;07 O;Gut & Günstig;Leberkäse;unknown;unknown;de:leberkase;https://static.openfoodfacts.org/images/products/431/150/148/5217/front_de.6.400.jpg;https://static.openfoodfacts.org/images/products/431/150/148/5217/front_de.6.200.jpg
43115259;https://world.openfoodfacts.org/product/43115259;Zabaione Quark mit Schokoraspeln;Speisequarkzubereitung mit 20% Zabaionezubereitung und 2,4% Schokoladenraspeln;200 g;06 PS,Aluminium;Gut & Günstig;Milchprodukte, Fermentierte Lebensmittel, Fermentierte Milch, Käse, Frischkäse, Quark;Milk and dairy products;Cheese;en:quark;https://static.openfoodfacts.org/images/products/43115259/front_de.11.400.jpg;https://static.openfoodfacts.org/images/products/43115259/front_de.11.200.jpg
4311501451564;https://world.openfoodfacts.org/product/4311501451564;Butter Toast;Buttertoastbrot;500 g;05 PP;Gut & Günstig;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Getreide und Kartoffeln, Brote, Geschnittenes Brot;Cereals and potatoes;Bread;en:sliced-breads;https://static.openfoodfacts.org/images/products/431/150/145/1564/front_de.15.400.jpg;https://static.openfoodfacts.org/images/products/431/150/145/1564/front_de.15.200.jpg
4311596451081;https://world.openfoodfacts.org/product/4311596451081;Sandwich Fürst Pückler Art;Bourbon-Vanilleeis, Eis Erdbeere und Schokoladeneis zwischen zwei Waffeln;720 ml;21 PAP,05 PP;Gut & Günstig;Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Speiseeis;Milk and dairy products;Ice cream;en:ice-creams;https://static.openfoodfacts.org/images/products/431/159/645/1081/front_de.6.400.jpg;https://static.openfoodfacts.org/images/products/431/159/645/1081/front_de.6.200.jpg
4311596461868;https://world.openfoodfacts.org/product/4311596461868;Apfelsaft;Apfelsaft aus Apfelsaftkonzentrat;1 l;01 PET,Pfandfrei;Gut & Günstig;Getränke, Pflanzliche Lebensmittel und Getränke, Pflanzliche Getränke, Fruchtgetränke, Säfte und Nektare, Fruchtsäfte und -Nektare, Fruchsäfte, Apfelsaft;Beverages;Fruit juices;en:apple-juices;https://static.openfoodfacts.org/images/products/431/159/646/1868/front_de.30.400.jpg;https://static.openfoodfacts.org/images/products/431/159/646/1868/front_de.30.200.jpg
4311501450925;https://world.openfoodfacts.org/product/4311501450925;Spaghetti Eis-Dessert;Bourbon-Vanilleeis mit 23% Erdbeersauce, verziert mit 2% weißen Schokoladenraspeln;510 ml;21 PAP;Gut & Günstig;Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Speiseeis;Milk and dairy products;Ice cream;en:ice-creams;https://static.openfoodfacts.org/images/products/431/150/145/0925/front_de.7.400.jpg;https://static.openfoodfacts.org/images/products/431/150/145/0925/front_de.7.200.jpg
4371507601783;https://world.openfoodfacts.org/product/4371507601783;Speisequark Magerstufe;;500 g;06 PS,84 C/PAP;Gut & Günstig;Milchprodukte, Fermentierte Lebensmittel, Fermentierte Milch, Käse, Frischkäse, Quark, Magerquark;Milk and dairy products;Cheese;en:lean-quark;https://static.openfoodfacts.org/images/products/437/150/760/1783/front_de.4.400.jpg;https://static.openfoodfacts.org/images/products/437/150/760/1783/front_de.4.200.jpg
4032218157999;https://world.openfoodfacts.org/product/4032218157999;Gartenkresse;;1;Karton;Unsere Heimat;Gartenkresse;unknown;unknown;de:gartenkresse;https://static.openfoodfacts.org/images/products/403/221/815/7999/front_de.6.400.jpg;https://static.openfoodfacts.org/images/products/403/221/815/7999/front_de.6.200.jpg
4311501355725;https://world.openfoodfacts.org/product/4311501355725;Kidney Bohnen dunkelrot;Kidneybohnen;Füllmenge: 800g Abtropfgewicht: 530 g;40 FE;Edeka;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Konserven, Konserven-Produkte auf pflanzlicher Basis, Bohnen;unknown;unknown;de:bohnen;https://static.openfoodfacts.org/images/products/431/150/135/5725/front_de.7.400.jpg;https://static.openfoodfacts.org/images/products/431/150/135/5725/front_de.7.200.jpg
4311501493298;https://world.openfoodfacts.org/product/4311501493298;Original Allgäuer Emmentaler;Allgäuer Emmentaler in Scheiben g.U., 45% Fett i. Tr.;125 g;07 O;Edeka;Milchprodukte, Fermentierte Lebensmittel, Fermentierte Milch, Käse, Kuhmilchkäse, Gekochter gepresster Käse, Emmentaler;Milk and dairy products;Cheese;en:emmentaler;https://static.openfoodfacts.org/images/products/431/150/149/3298/front_de.5.400.jpg;https://static.openfoodfacts.org/images/products/431/150/149/3298/front_de.5.200.jpg
4015271001430;https://world.openfoodfacts.org/product/4015271001430;Pizza Thunfisch;Pizza Thunfisch mit Tomatensauce, Gouda-Käse 48% Fett i.Tr., Thunfisch mit Rapsöl, Zwiebeln;360 g;Folie;Pizza Lorenzo;Meals, Pizzas pies and quiches, Pizzas, Tuna pizzas;Composite foods;Pizza pies and quiche;en:tuna-pizzas;https://static.openfoodfacts.org/images/products/401/527/100/1430/front_de.5.400.jpg;https://static.openfoodfacts.org/images/products/401/527/100/1430/front_de.5.200.jpg
